"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","Ros","+/-"
"*03di6*","Jordan Romano","PHI","RP","510","FA","32","@CHW Wed 1:10PM","127.5","3.04","33%","+1.6%"
"*03yxh*","Cal Quantrill","MIA","SP","511","FA","30","@STL Wed 6:45PM","127.5","6.38","16%","-0.6%"
"*03qml*","Dylan Moore","SEA","1B,2B,3B,SS,OF","513","FA","32","@ATH Wed 9:05PM","127.5","1.63","37%","+1.2%"
"*04efs*","Nick Allen","ATL","SS","512","FA","26","@KC Wed 1:10PM","127.5","1.31","5%","-0.8%"
"*0312h*","Kyle Farmer","COL","1B,2B,3B,SS","514","FA","34","@CLE Wed 5:40PM","127","1.74","8%","-0.1%"
"*0614c*","Jordan Leasure","CHW","RP","515","FA","26","PHI Wed 1:10PM","126.5","2.94","6%","-0.7%"
"*03eet*","Yoan Moncada","LAA","3B","516","FA","30","TEX Wed 8:38PM","126.5","3.01","20%","-3.2%"
"*050ok*","Yennier Cano","BAL","RP","517","FA","31","TOR Wed 11:35AM","126.5","2.94","20%","-1%"
"*0313t*","Tyler Kinley","COL","RP","518","FA","34","@CLE Wed 5:40PM","126","2.57","5%","+0.1%"
"*03qxr*","Cole Sands","MIN","SP,RP","519","FA","28","BOS Wed 12:10PM","125.5","2.85","10%","-0.6%"
"*04q3y*","Grant Anderson","MIL","RP","522","FA","28","CHC Wed 1:10PM","125","2.66","4%","-1.7%"
"*043r7*","Caleb Ferguson","PIT","RP","524","FA","29","@SF Wed 2:45PM","124.5","2.77","5%","-1%"
"*03zcx*","Will Benson","CIN","OF","525","FA","27","LAD Wed 6:10PM","124.5","2.15","13%","-1.2%"
"*032lk*","Sean Newcomb","ATH","SP,RP","526","FA","32","SEA Wed 9:05PM","124","4","6%","-1.2%"
"*01s98*","Jose Iglesias","SD","2B,3B,SS","527","FA","35","NYM Wed 3:10PM","124","1.59","6%","-0.2%"
"*01t5w*","Miguel Rojas","LAD","2B,3B,SS","529","FA","36","@CIN Wed 6:10PM","123.5","1.84","7%","-0.3%"
"*02j77*","Chris Martin","TEX","RP","530","FA","39","@LAA Wed 8:38PM","122.5","3.14","26%","-2.5%"
